OTU_ID,C1,C2,C3,P1,P2,P3,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU434,0,0,0,0,0,11,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreales_fam_Incertae_sedis,g__Acremonium,
OTU382,0,0,0,2,11,10,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Bionectriaceae,g__Clonostachys,s__Clonostachys_rosea
OTU426,0,0,0,0,2,10,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,,,
OTU333,0,0,21,0,0,10,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Clavicipitaceae,,
OTU303,0,0,15,0,0,10,k__Fungi,p__Ascomycota,,,,,
OTU192,0,0,0,29,2,9,k__Fungi,p__Ascomycota,,,,,
OTU722,0,0,0,0,0,9,k__Fungi,,,,,,
OTU380,0,0,5,13,12,8,k__Fungi,p__Ascomycota,,,,,
OTU733,0,0,0,0,0,8,k__Fungi,p__Glomeromycota,c__Archaeosporomycetes,o__Archaeosporales,f__Archaeosporaceae,,
OTU726,0,0,0,0,0,8,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_hyalina
OTU15,0,0,1,2148,818,7,k__Fungi,p__Ascomycota,,,,,
OTU76,0,0,226,28,28,7,k__Fungi,p__Ascomycota,,,,,
OTU164,0,0,68,6,7,7,k__Fungi,,,,,,
OTU423,0,0,26,0,2,7,k__Fungi,p__Basidiomycota,c__Agaricomycetes,,,,
OTU268,0,0,0,1,1,7,k__Fungi,p__Ascomycota,c__Geoglossomycetes,o__Geoglossales,f__Geoglossaceae,g__Trichoglossum,
OTU427,0,0,0,1,0,7,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Penicillium,
OTU732,0,0,1,0,0,7,k__Fungi,p__Ascomycota,,,,,
OTU743,0,0,0,0,0,7,k__Fungi,,,,,,
OTU739,0,0,0,0,0,7,k__Fungi,p__Ascomycota,,,,,
OTU748,0,0,0,0,0,7,k__Fungi,p__Ascomycota,,,,,
OTU723,0,0,0,0,0,7,k__Fungi,p__Ascomycota,,,,,
OTU742,0,0,0,0,0,7,k__Fungi,p__Mucoromycota,c__Umbelopsidomycetes,o__Umbelopsidales,f__Umbelopsidaceae,g__Umbelopsis,s__unidentified
OTU14,0,0,1,1127,2425,6,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pezizaceae,,
OTU28,0,0,2642,7,12,6,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Boletales,f__Boletaceae,g__unidentified,s__unidentified
OTU188,0,0,2,22,4,6,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,,
OTU368,0,0,0,11,4,6,k__Fungi,p__Ascomycota,,,,,
OTU750,0,0,0,1,1,6,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,
OTU148,0,0,0,40,53,5,k__Fungi,p__Ascomycota,c__Ascomycota_cls_Incertae_sedis,o__Ascomycota_ord_Incertae_sedis,f__Ascomycota_fam_Incertae_sedis,g__Pseudoclathrosphaerina,s__unidentified
OTU184,0,0,108,5,3,5,k__Fungi,,,,,,
OTU682,0,0,0,0,3,5,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,,,
OTU634,0,0,1,49,2,5,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Leotiomycetes_ord_Incertae_sedis,f__Leotiomycetes_fam_Incertae_sedis,g__Leohumicola,
OTU572,0,0,1,4,0,5,k__Fungi,,,,,,
OTU741,0,0,0,2,0,5,k__Fungi,p__Ascomycota,,,,,
OTU389,0,0,0,1,0,5,Unclassified,,,,,,
OTU336,0,0,26,0,0,5,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Lycoperdaceae,g__Lycoperdon,
OTU433,0,0,0,0,0,5,k__Fungi,p__Glomeromycota,c__Glomeromycetes,,,,
OTU724,0,0,0,0,0,5,k__Plantae,p__unidentified,c__unidentified,o__unidentified,f__unidentified,g__unidentified,s__unidentified
OTU729,0,0,0,0,0,5,k__Fungi,p__Ascomycota,,,,,
OTU397,0,0,0,3,9,4,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Mycosphaerellaceae,g__Ramularia,
OTU744,0,0,0,0,0,4,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Trechisporales,f__Hydnodontaceae,g__Trechispora,
OTU22,0,0,17,7,2452,3,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Boletales,f__Sclerodermataceae,g__Scleroderma,s__Scleroderma_citrinum
OTU61,0,0,0,330,4,3,k__Plantae,,,,,,
OTU692,0,0,0,0,3,3,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,,,
OTU623,0,0,13,32,2,3,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreaceae,g__Trichoderma,
OTU58,0,0,446,1,2,3,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Russulales,f__Russulaceae,g__Russula,s__Russula_rubellipes
OTU341,0,0,6,0,1,3,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_parvispora
OTU546,0,0,3,0,0,3,k__Fungi,,,,,,
OTU394,0,0,0,5,10,2,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Sebacinales,f__Sebacinaceae,g__Sebacina,s__unidentified
OTU372,0,0,0,28,7,2,k__Fungi,p__Ascomycota,,,,,
OTU570,0,0,3,0,5,2,k__Fungi,p__Basidiomycota,c__Microbotryomycetes,o__unidentified,f__unidentified,g__unidentified,s__unidentified
OTU18,0,0,3,2051,2,2,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Elaphomycetaceae,g__Elaphomyces,s__Elaphomyces_maculatus
OTU174,0,0,56,1,1,2,k__Fungi,,,,,,
OTU706,0,0,0,0,1,2,k__Fungi,p__Glomeromycota,c__Archaeosporomycetes,o__Archaeosporales,f__Archaeosporaceae,g__Archaeospora,s__unidentified
OTU528,0,0,14,14,0,2,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,
OTU662,0,0,1,1,0,2,k__Fungi,p__Mucoromycota,c__Endogonomycetes,o__GS22,f__unidentified,g__unidentified,s__unidentified
OTU734,0,0,2,0,0,2,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreales_fam_Incertae_sedis,g__Acremonium,s__Acremonium_spinosum
OTU745,0,0,0,0,0,2,k__Fungi,p__Mucoromycota,c__Mucoromycetes,o__Mucorales,f__Mucoraceae,g__Zygorhynchus,s__unidentified
OTU730,0,0,0,0,0,2,k__Fungi,,,,,,
OTU728,0,0,0,0,0,2,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Polyporales,f__Coriolaceae,g__Rigidoporus,s__Rigidoporus_pouzarii
OTU738,0,0,0,0,0,2,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Amanitaceae,g__Amanita,
OTU746,0,0,0,0,0,2,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Chaetosphaeriales,f__Chaetosphaeriaceae,g__Chaetosphaeria,
OTU24,0,0,0,1,1946,1,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Russulales,f__Russulaceae,g__Russula,s__Russula_cyanoxantha
OTU30,0,0,0,886,864,1,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Russulales,f__Russulaceae,g__Russula,s__Russula_melzeri
OTU54,0,0,0,246,243,1,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,g__Inocybe,s__Inocybe_calamistrata
OTU353,0,0,2,1,8,1,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Russulales,f__Russulaceae,g__Russula,s__Russula_changbaiensis
OTU665,0,0,0,0,7,1,k__Fungi,p__Glomeromycota,c__Archaeosporomycetes,o__Archaeosporales,f__unidentified,g__unidentified,s__unidentified
OTU609,0,0,1,0,4,1,k__Fungi,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,,,
OTU629,0,0,1,3,2,1,k__Fungi,p__Basidiomycota,c__Cystobasidiomycetes,,,,
OTU222,0,0,54,0,2,1,k__Fungi,,,,,,
OTU632,0,0,0,11,1,1,k__Fungi,p__Ascomycota,,,,,
OTU193,0,0,0,93,0,1,k__Fungi,p__Basidiomycota,,,,,
OTU626,0,0,0,24,0,1,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,,,
OTU255,0,0,0,14,0,1,k__Fungi,p__Ascomycota,,,,,
OTU318,0,0,42,6,0,1,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Clavariaceae,g__Clavaria,s__unidentified
OTU637,0,0,0,2,0,1,k__Fungi,,,,,,
OTU68,0,0,246,1,0,1,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Russulales,f__Russulaceae,g__Lactarius,s__Lactarius_chrysorrheus
OTU141,0,0,51,1,0,1,k__Fungi,p__Ascomycota,,,,,
