OTU_ID,C1,C2,C3,P1,P2,P3,Kingdom,Phylum,Class,Order,Family,Genus,Species,
OTU1099,2,0,2,0,1,0,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__KD8-87,f__,g__,s__,
OTU1490,2,1,1,0,1,0,k__Bacteria,p__Acidobacteria,c__DA052,o__Ellin6513,f__,g__,s__,
OTU1782,2,0,1,0,1,0,k__Bacteria,p__Acidobacteria,c__TM1,o__,f__,g__,s__,
OTU707,2,0,1,0,1,0,k__Bacteria,p__Elusimicrobia,c__Elusimicrobia,o__Elusimicrobiales,f__,g__,s__,
OTU2114,2,0,0,0,1,0,k__Bacteria,p__Acidobacteria,c__DA052,o__Ellin6513,f__,g__,s__,
OTU560,2,0,0,0,1,0,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Rhodoplanes,s__,
OTU1878,2,13,2,7,0,0,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Microbacteriaceae,,,
OTU904,2,5,18,2,0,0,k__Bacteria,p__Chloroflexi,c__Ktedonobacteria,o__Thermogemmatisporales,f__Thermogemmatisporaceae,g__,s__,
OTU1625,2,0,3,2,0,0,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,g__,s__,
OTU1289,2,0,1,2,0,0,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Acidobacteriaceae,g__,s__,
OTU2800,2,0,6,1,0,0,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__,g__,s__,
OTU261,2,0,4,1,0,0,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methylocystaceae,g__,s__,
OTU1607,2,0,2,1,0,0,k__Bacteria,p__AD3,c__JG37-AG-4,o__,f__,g__,s__,
OTU10,2,36,1,1,0,0,k__Bacteria,,,,,,,
OTU1909,2,0,1,1,0,0,k__Bacteria,p__Chloroflexi,c__Anaerolineae,,,,,
OTU767,2,0,1,1,0,0,k__Bacteria,,,,,,,
OTU1403,2,0,1,1,0,0,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Koribacteraceae,g__Candidatus,,
OTU826,2,1,0,1,0,0,k__Bacteria,p__Proteobacteria,,,,,,
OTU2002,2,0,0,1,0,0,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__A21b,f__EB1003,g__,s__,
OTU1013,2,0,0,1,0,0,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Sinobacteraceae,g__,s__,
OTU634,2,0,0,1,0,0,k__Bacteria,p__Planctomycetes,c__Planctomycetia,o__Gemmatales,f__Gemmataceae,g__,s__,
OTU1534,2,0,0,1,0,0,k__Bacteria,p__Acidobacteria,c__DA052,o__Ellin6513,f__,g__,s__,
OTU674,2,0,0,1,0,0,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,,,
OTU212,2,7,5,0,0,0,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,,,,,
OTU911,2,2,3,0,0,0,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,,,,
OTU554,2,1,3,0,0,0,k__Bacteria,p__Elusimicrobia,c__Elusimicrobia,o__Elusimicrobiales,f__,g__,s__,
OTU1357,2,0,3,0,0,0,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,,,,,
OTU1094,2,1,2,0,0,0,k__Bacteria,p__Acidobacteria,c__[Chloracidobacteria],o__11-24,f__,g__,s__,
OTU576,2,0,2,0,0,0,k__Bacteria,p__GAL15,c__,o__,f__,g__,s__,
OTU948,2,0,2,0,0,0,k__Bacteria,p__Verrucomicrobia,c__[Methylacidiphilae],o__S-BQ2-57,f__,g__,s__,
OTU1496,2,0,2,0,0,0,k__Bacteria,p__Acidobacteria,c__Solibacteres,o__Solibacterales,f__Solibacteraceae,g__Candidatus,,
OTU202,2,5,1,0,0,0,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Acidobacteriaceae,g__,s__,
OTU1083,2,0,1,0,0,0,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Koribacteraceae,g__,s__,
OTU114,2,0,1,0,0,0,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,,,,,
OTU1157,2,103,0,0,0,0,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,,,
OTU1226,2,3,0,0,0,0,k__Bacteria,,,,,,,
OTU513,2,2,0,0,0,0,k__Bacteria,p__Elusimicrobia,c__Elusimicrobia,o__Elusimicrobiales,f__,g__,s__,
OTU424,2,1,0,0,0,0,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Syntrophobacterales,f__Syntrophobacteraceae,g__,s__,
OTU1027,2,0,0,0,0,0,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,,,,
OTU583,2,0,0,0,0,0,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__,g__,s__,
OTU641,2,0,0,0,0,0,k__Bacteria,p__Elusimicrobia,c__Elusimicrobia,o__FAC88,f__,g__,s__,
OTU697,2,0,0,0,0,0,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,,,
OTU570,2,0,0,0,0,0,k__Bacteria,p__AD3,c__JG37-AG-4,o__,f__,g__,s__,
OTU1698,2,0,0,0,0,0,k__Bacteria,p__Cyanobacteria,c__4C0d-2,o__MLE1-12,f__,g__,s__,
OTU729,2,0,0,0,0,0,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,,,,
OTU640,2,0,0,0,0,0,k__Bacteria,,,,,,,
OTU175,2,0,0,0,0,0,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,,,
OTU931,2,0,0,0,0,0,k__Bacteria,p__Elusimicrobia,c__Endomicrobia,o__,f__,g__,s__,
OTU787,2,0,0,0,0,0,k__Bacteria,p__Acidobacteria,,,,,,
OTU983,2,0,0,0,0,0,k__Bacteria,,,,,,,
OTU1087,2,0,0,0,0,0,k__Bacteria,,,,,,,
OTU1008,2,0,0,0,0,0,k__Bacteria,p__Acidobacteria,c__Solibacteres,o__Solibacterales,f__Solibacteraceae,g__Candidatus,,
OTU1018,2,0,0,0,0,0,k__Bacteria,p__Chloroflexi,c__Ktedonobacteria,o__Thermogemmatisporales,f__,g__,s__,
OTU1124,2,0,0,0,0,0,k__Bacteria,p__Chloroflexi,c__TK10,o__B07_WMSP1,f__,g__,s__,
OTU1120,2,0,0,0,0,0,k__Bacteria,p__Proteobacteria,,,,,,
OTU461,2,0,0,0,0,0,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,g__,s__,
OTU673,2,0,0,0,0,0,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,,,,
OTU426,2,0,0,0,0,0,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,,,
OTU956,2,0,0,0,0,0,k__Bacteria,p__Acidobacteria,,,,,,
OTU198,1,3,0,16,6,35,k__Bacteria,p__Acidobacteria,c__Acidobacteria-6,o__iii1-15,f__,g__,s__,
OTU2723,1,3,7,4,4,20,k__Bacteria,p__AD3,c__ABS-6,o__,f__,g__,s__,
OTU1889,1,5,9,43,6,18,k__Bacteria,p__Acidobacteria,c__DA052,o__Ellin6513,f__,g__,s__,
OTU2001,1,4,1,3,9,16,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Thermomonosporaceae,g__,s__,
OTU2740,1,1,2,0,9,14,k__Bacteria,p__Chloroflexi,c__Ktedonobacteria,o__Thermogemmatisporales,f__Thermogemmatisporaceae,g__,s__,
OTU276,1,1,2,14,7,14,k__Bacteria,p__Chloroflexi,c__Ktedonobacteria,,,,,
OTU1121,1,2,2,3,8,11,k__Bacteria,p__Chloroflexi,c__Ktedonobacteria,o__Thermogemmatisporales,f__Thermogemmatisporaceae,g__,s__,
OTU345,1,1,0,1,4,10,k__Bacteria,p__Chloroflexi,c__Ktedonobacteria,o__Thermogemmatisporales,f__Thermogemmatisporaceae,g__,s__,
OTU1796,1,1,4,3,1,9,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,,,
OTU1815,1,3,0,37,6,8,k__Bacteria,p__Chloroflexi,c__Ktedonobacteria,o__JG30-KF-AS9,f__,g__,s__,
OTU188,1,7,0,15,14,7,k__Bacteria,p__WPS-2,c__,o__,f__,g__,s__,
OTU164,1,0,2,4,2,7,k__Bacteria,p__Chloroflexi,c__TK10,o__B07_WMSP1,,,,
OTU2551,1,3,0,0,7,6,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Thermomonosporaceae,g__,s__,
OTU355,1,0,3,6,1,6,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,g__,s__,
OTU2818,1,0,0,1,0,6,k__Bacteria,,,,,,,
OTU1280,1,0,0,3,6,5,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Sinobacteraceae,g__,s__,
OTU1945,1,0,1,3,4,5,k__Bacteria,p__Actinobacteria,c__Thermoleophilia,o__Solirubrobacterales,,,,
OTU2241,1,0,2,2,3,5,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__,s__,
OTU2059,1,0,0,5,1,5,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,,,,
OTU2807,1,3,0,12,7,4,k__Bacteria,p__Acidobacteria,c__TM1,o__,f__,g__,s__,
OTU332,1,2,6,4,7,4,k__Bacteria,p__Acidobacteria,c__TM1,o__,f__,g__,s__,
OTU2568,1,1,2,7,3,4,k__Bacteria,p__WS3,c__PRR-12,o__Sediment-1,f__PRR-10,g__,s__,
OTU699,1,2,2,2,3,4,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Koribacteraceae,g__,s__,
OTU2596,1,1,1,1,3,4,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__,g__,s__,
OTU1118,1,0,2,7,2,4,k__Bacteria,p__AD3,c__JG37-AG-4,o__,f__,g__,s__,
